Id,Probability
1,0.45692462
2,0.43500352
3,0.15233558
4,0.5499521
5,0.6532034
6,0.30407262
7,0.29797128
8,0.2980224
9,0.029976444
10,0.7265823
11,0.18504515
12,0.19867256
13,0.09630871
14,0.5529681
15,0.42355248
16,0.14782545
17,0.3158254
18,0.2658644
19,0.6802317
20,0.54702055
21,0.09728987
22,0.12305144
23,0.059629124
24,0.94163877
25,0.4750958
26,0.19897547
27,0.6118662
28,0.09330343
29,0.4257136
30,0.31044066
31,0.4679554
32,0.06704712
33,0.19991657
34,0.5227679
35,0.87327063
36,0.5012592
37,0.35681662
38,0.13705917
39,0.18083389
40,0.38455158
41,0.9300484
42,0.80957663
43,0.6499501
44,0.10372123
45,0.34718442
46,0.048152305
47,0.0443078
48,0.19117452
49,0.2595153
50,0.27071053
51,0.18073024
52,0.29219812
53,0.12493213
54,0.46065295
55,0.27543378
56,0.53754544
57,0.054385718
58,0.5616617
59,0.54037285
60,0.55400795
61,0.22640158
62,0.12980692
63,0.3870976
64,0.121064365
65,0.24803397
66,0.28951707
67,0.18688846
68,0.72916466
69,0.087490454
70,0.9609766
71,0.15353347
72,0.66149837
73,0.06522036
74,0.73586434
75,0.16697335
76,0.25245222
77,0.6228692
78,0.4787288
79,0.26020858
80,0.24814156
81,0.17353602
82,0.13028893
83,0.5068996
84,0.081589654
85,0.21138307
86,0.19401719
87,0.44631362
88,0.15788773
89,0.3780261
90,0.22012934
91,0.44534388
92,0.15298887
93,0.1917002
94,0.17241165
95,0.07005306
96,0.67375857
97,0.3177348
98,0.5166093
99,0.22810279
100,0.18951336
101,0.40938434
102,0.5320968
103,0.066235684
104,0.39250138
105,0.43860796
106,0.2954789
107,0.87500453
108,0.16993527
109,0.07876871
110,0.22804548
111,0.19003752
112,0.28772146
113,0.36998338
114,0.89368767
115,0.60683113
116,0.11388528
117,0.03959836
118,0.6057271
119,0.1906934
120,0.10677163
121,0.13291979
122,0.42949474
123,0.122237355
124,0.9074792
125,0.12993665
126,0.16610368
127,0.069405966
128,0.2244878
129,0.053284954
130,0.457664
131,0.31907547
132,0.5749822
133,0.061982542
134,0.33624727
135,0.6381311
136,0.10639911
137,0.7643282
138,0.36555007
139,0.09071289
140,0.20555793
141,0.049836665
142,0.22425754
143,0.048466504
144,0.32746172
145,0.87671363
146,0.14296326
147,0.050772347
148,0.5813032
149,0.08733433
150,0.45350724
151,0.052389037
152,0.2471714
153,0.07158992
154,0.10539765
155,0.19039573
156,0.32070127
157,0.48707658
158,0.07699702
159,0.6479543
160,0.3305382
161,0.053729936
162,0.18635932
163,0.17224793
164,0.5193289
165,0.15656696
166,0.18884245
167,0.9084024
168,0.21948206
169,0.7237948
170,0.16287182
171,0.051183145
172,0.24646606
173,0.2627756
174,0.37464967
175,0.2239704
176,0.8227646
177,0.25474867
178,0.5957599
179,0.18095653
180,0.16976488
181,0.40721634
182,0.14829077
183,0.17535558
184,0.155073
185,0.71179026
186,0.10510292
187,0.11267557
188,0.3012963
189,0.51494086
190,0.41867083
191,0.27920717
192,0.36103365
193,0.1737148
194,0.6308468
195,0.20645426
196,0.3456016
197,0.09081707
198,0.16383083
199,0.13767484
200,0.13297367
201,0.6592153
202,0.27435914
203,0.8730481
204,0.4415411
205,0.23640436
206,0.08388117
207,0.36299673
208,0.075448506
209,0.66887367
210,0.07284373
211,0.6835645
212,0.29445383
213,0.25329912
214,0.079909846
215,0.16206081
216,0.61161315
217,0.12235481
218,0.5628645
219,0.15813357
220,0.056972634
221,0.34778866
222,0.16804576
223,0.13721475
224,0.13116941
225,0.15720606
226,0.52847546
227,0.15016012
228,0.562624
229,0.6055211
230,0.9287804
231,0.65810996
232,0.13733158
233,0.13707396
234,0.1340591
235,0.06250527
236,0.8001822
237,0.5442141
238,0.053436495
239,0.18840647
240,0.19424279
241,0.4903153
242,0.1607283
243,0.08823851
244,0.25047094
245,0.6011763
246,0.14896934
247,0.4236914
248,0.08027184
249,0.21591343
250,0.85904586
251,0.29359353
252,0.79651886
253,0.06646774
254,0.5641008
255,0.04422936
256,0.11887145
257,0.42595574
258,0.62005615
259,0.3485157
260,0.7334704
261,0.18567717
262,0.27888453
263,0.08043998
264,0.48981082
265,0.6321503
266,0.33556387
267,0.5364512
268,0.5291356
269,0.763433
270,0.08295258
271,0.2999295
272,0.4654256
273,0.080762595
274,0.20091593
275,0.124453455
276,0.25393775
277,0.15674925
278,0.073689885
279,0.60063916
280,0.21988213
281,0.92755616
282,0.29434213
283,0.5568413
284,0.08781399
285,0.16198604
286,0.16919215
287,0.16106027
288,0.40819106
289,0.57049733
290,0.57737523
291,0.8275168
292,0.08690294
293,0.38201302
294,0.13753578
295,0.07227854
296,0.27058977
297,0.14113684
298,0.28730226
299,0.06456408
300,0.10909345
301,0.513214
302,0.12897445
303,0.1125672
304,0.12032299
305,0.9438942
306,0.36130866
307,0.049773246
308,0.70214534
309,0.8340227
310,0.20385234
311,0.91870266
312,0.23742025
313,0.78896165
314,0.33486742
315,0.442411
316,0.6708758
317,0.9089056
318,0.10045567
319,0.11757345
320,0.59867626
321,0.5548003
322,0.24157314
323,0.1584636
324,0.10514118
325,0.45561498
326,0.11817065
327,0.208781
328,0.12554488
329,0.2542766
330,0.06903433
331,0.24093492
332,0.2303454
333,0.23497085
334,0.2845255
335,0.31574982
336,0.4381895
337,0.17549734
338,0.7910837
339,0.4129655
340,0.14453422
341,0.049393613
342,0.16902015
343,0.23692243
344,0.38115096
345,0.18825933
346,0.27418038
347,0.8284112
348,0.5567698
349,0.22240156
350,0.11326905
351,0.43058115
352,0.5341216
